id,label,pred
Chart-1-patch1-SketchFix-correct-ASE,0,0
Chart-1-patch1-GenProg-incorrect-ASE,1,1
Chart-1-patch1-DynaMoth-incorrect-ASE,1,1
Chart-1-patch1-SketchFix-incorrect-ASE,1,1
Chart-1-patch1-SequenceR-incorrect-ASE,1,1
Chart-1-patch1-Jaid-incorrect-ASE,1,1
Chart-1-patch1-jGenprog-incorrect-ICSE,1,1
Chart-1-patch1-Kali-incorrect-ASE,1,1
Chart-1-patch1-Arja-incorrect-ASE,1,1
Chart-1-patch2-SketchFix-incorrect-ASE,1,1
Chart-1-patch2-Jaid-incorrect-ASE,1,1
Chart-1-patch2-SequenceR-incorrect-ASE,1,1
Chart-1-patch3-Jaid-incorrect-ASE,1,1
Chart-1-patch3-SequenceR-incorrect-ASE,1,1
Chart-2-patch0-d4j-correct-d4j,0,0
Chart-3-patch0-d4j-correct-d4j,0,0
Chart-3-patch1-jGenprog-correct-ICSE,0,0
Chart-3-patch1-GenProg-incorrect-ASE,1,1
Chart-3-patch1-Arja-incorrect-ASE,1,0
Chart-3-patch1-kPAR-incorrect-ASE,1,0
Chart-3-patch1-TBar-incorrect-ASE,1,0
Chart-3-patch1-Nopol2017-incorrect-ICSE,1,0
Chart-4-patch1-SOFix-correct-ASE,0,0
Chart-5-patch0-d4j-correct-d4j,0,0
Chart-5-patch1-Arja-incorrect-ASE,1,0
Chart-5-patch1-Nopol2015-incorrect-ICSE,1,0
Chart-5-patch1-Kali-incorrect-ASE,1,0
Chart-5-patch1-TBar-incorrect-ASE,1,1
Chart-5-patch1-jGenprog-incorrect-ICSE,1,0
Chart-5-patch1-AVATAR-incorrect-ASE,1,1
Chart-5-patch1-Nopol-incorrect-ASE,1,0
Chart-5-patch1-Nopol2017-incorrect-ICSE,1,0
Chart-5-patch1-jGenProg-incorrect-ASE,1,0
Chart-5-patch1-kPAR-incorrect-ASE,1,0
Chart-6-patch0-d4j-correct-d4j,0,0
Chart-6-patch1-Cardumen-incorrect-ASE,1,1
Chart-7-patch1-SimFix-correct-ASE,0,0
Chart-7-patch1-jMutRepair-incorrect-ASE,1,0
Chart-7-patch1-jGenProg-incorrect-ASE,1,0
Chart-7-patch1-kPAR-incorrect-ASE,1,0
Chart-7-patch1-Arja-incorrect-ASE,1,0
Chart-7-patch1-TBar-incorrect-ASE,1,0
Chart-8-patch1-CapGen-correct-ASE,0,0
Chart-9-patch1-Jaid-correct-ASE,0,0
Chart-9-patch1-TBar-correct-ASE,0,0
Chart-9-patch1-SequenceR-correct-ASE,0,0
Chart-9-patch1-Nopol-incorrect-ASE,1,0
Chart-9-patch1-Jaid-incorrect-ASE,1,1
Chart-9-patch1-Nopol2017-incorrect-ICSE,1,0
Chart-9-patch2-Jaid-correct-ASE,0,0
Chart-9-patch2-Jaid-incorrect-ASE,1,0
Chart-9-patch3-Jaid-incorrect-ASE,1,1
Chart-10-patch0-d4j-correct-d4j,0,0
Chart-11-patch1-SequenceR-correct-ASE,0,0
Chart-11-patch2-CapGen-correct-ASE,0,0
Chart-12-patch0-d4j-correct-d4j,0,0
Chart-12-patch1-Arja-correct-ASE,0,0
Chart-12-patch1-TBar-incorrect-ASE,1,1
Chart-12-patch1-SimFix-incorrect-ASE,1,0
Chart-12-patch1-RSRepair-incorrect-ASE,1,0
Chart-12-patch1-Kali-incorrect-ASE,1,1
Chart-12-patch1-GenProg-incorrect-ASE,1,1
Chart-13-patch0-d4j-correct-d4j,0,0
Chart-13-patch1-FixMiner-incorrect-ASE,1,0
Chart-13-patch1-Arja-incorrect-ASE,1,1
Chart-13-patch1-TBar-incorrect-ASE,1,1
Chart-13-patch1-jKali-incorrect-ICSE,1,1
Chart-13-patch1-AVATAR-incorrect-ASE,1,1
Chart-13-patch1-Nopol2015-incorrect-ICSE,1,1
Chart-13-patch1-Nopol2017-incorrect-ICSE,1,1
Chart-13-patch1-DynaMoth-incorrect-ASE,1,1
Chart-13-patch1-jKali-incorrect-ASE,1,1
Chart-13-patch1-Nopol-incorrect-ASE,1,1
Chart-13-patch1-GenProg-incorrect-ASE,1,1
Chart-13-patch1-Cardumen-incorrect-ASE,1,1
Chart-13-patch1-jGenProg-incorrect-ASE,1,1
Chart-13-patch1-RSRepair-incorrect-ASE,1,1
Chart-14-patch1-ACS-correct-ASE,0,1
Chart-14-patch1-Arja-incorrect-ASE,1,1
Chart-15-patch0-d4j-correct-d4j,0,1
Chart-15-patch1-kPAR-incorrect-ASE,1,0
Chart-15-patch1-jGenprog-incorrect-ICSE,1,0
Chart-15-patch1-DynaMoth-incorrect-ASE,1,0
Chart-15-patch1-Kali-incorrect-ASE,1,1
